height,mm,627.3533513835279,
phi,deg,-10.0,
radius,mm,637.1071020482997,
alpha,deg,50 deg,
n,,1594.0,
lAB,mm,637.1071020482997,
lBC,mm,637.1071020482997,
lAC,mm,826.7775676303066,
thickness,mm,10.787584452411773,
d9,mm,lAB,
d18,mm,thickness,
d19,mm,thickness,
d34,mm,-thickness,
d35,mm,thickness,
d11,mm,thickness,
d12,deg,0.0 deg,
d13,mm,height,
d14,mm,lAB,
d15,deg,phi,
d24,mm,thickness,
d25,mm,thickness,
d32,,n,
d33,deg,360.0 deg,
d40,mm,-thickness,
d41,mm,thickness,
d16,mm,-thickness,
d17,deg,0.0 deg,
d20,mm,thickness,
d21,deg,0.0 deg,
d22,,n,
d23,deg,360.0 deg,
d26,mm,-thickness,
d27,deg,0.0 deg,
d28,,n,
d29,deg,360.0 deg,
d30,,n,
d31,deg,360.0 deg,
d36,mm,thickness,
d37,deg,0.0 deg,
d38,,n,
d39,deg,360.0 deg,
d42,,n,
d43,deg,360.0 deg,
