frame,dot_id,x,y
0,0,455,1076
0,1,459,1074
0,2,475,1073
0,3,466,1073
0,4,472,1072
0,5,481,1072
0,6,504,1070
0,7,491,1070
0,8,487,1070
0,9,506,1069
0,10,496,1069
0,11,502,1068
0,12,515,1067
0,13,508,1067
0,14,524,1066
0,15,511,1066
0,16,531,1065
0,17,520,1065
0,18,524,1064
0,19,536,1063
0,20,387,1053
0,21,414,1051
0,22,418,1049
0,23,494,1041
0,24,507,1039
0,25,513,1038
0,26,516,1035
0,27,355,1030
0,28,348,1029
0,29,351,1028
0,30,365,1026
0,31,447,1018
0,32,536,1017
0,33,446,1016
0,34,463,1013
0,35,451,1014
0,36,471,1012
0,37,456,1012
0,38,470,1010
0,39,301,1007
0,40,292,1007
0,41,306,1006
0,42,294,1006
0,43,314,1005
0,44,300,1005
0,45,319,1004
0,46,303,1004
0,47,327,1003
0,48,313,1003
0,49,331,1002
0,50,317,1002
0,51,325,1001
0,52,329,1000
0,53,353,999
0,54,337,999
0,55,342,998
0,56,349,997
0,57,388,996
0,58,355,996
0,59,384,995
0,60,403,993
0,61,407,988
0,62,412,986
0,63,288,980
0,64,295,979
0,65,283,979
0,66,488,978
0,67,299,978
0,68,286,978
0,69,494,977
0,70,306,977
0,71,500,976
0,72,490,976
0,73,295,976
0,74,506,975
0,75,496,975
0,76,306,975
0,77,311,975
0,78,508,973
0,79,330,973
0,80,514,972
0,81,341,971
0,82,334,971
0,83,347,970
0,84,336,970
0,85,354,969
0,86,343,969
0,87,539,968
0,88,359,968
0,89,348,968
0,90,364,967
0,91,355,967
0,92,557,969
0,93,436,956
0,94,451,953
0,95,457,952
0,96,439,953
0,97,464,951
0,98,469,950
0,99,453,950
0,100,392,950
0,101,465,948
0,102,401,960
0,103,398,948
0,104,237,956
1,0,455,1076
1,1,461,1074
1,2,473,1071
1,3,488,1070
1,4,494,1069
1,5,492,1069
1,6,507,1068
1,7,503,1068
1,8,521,1066
1,9,514,1066
1,10,511,1066
1,11,530,1065
1,12,516,1065
1,13,523,1064
1,14,530,1063
1,15,537,1063
1,16,383,1053
1,17,414,1050
1,18,417,1049
1,19,420,1048
1,20,492,1041
1,21,498,1040
1,22,512,1038
1,23,506,1036
1,24,347,1031
1,25,352,1030
1,26,360,1029
1,27,349,1028
1,28,363,1026
1,29,537,1021
1,30,447,1014
1,31,450,1013
1,32,467,1012
1,33,454,1012
1,34,461,1011
1,35,467,1010
1,36,474,1009
1,37,339,1009
1,38,291,1007
1,39,341,1006
1,40,300,1006
1,41,293,1006
1,42,498,1005
1,43,312,1005
1,44,296,1005
1,45,316,1004
1,46,302,1004
1,47,341,1003
1,48,324,1003
1,49,309,1003
1,50,329,1002
1,51,315,1002
1,52,336,1001
1,53,327,1000
1,54,349,999
1,55,334,999
1,56,341,998
1,57,345,997
1,58,352,996
1,59,384,994
1,60,401,992
1,61,381,991
1,62,407,990
1,63,405,989
1,64,411,986
1,65,281,981
1,66,285,980
1,67,292,979
1,68,297,978
1,69,283,978
1,70,492,977
1,71,304,977
1,72,290,977
1,73,497,976
1,74,307,976
1,75,504,975
1,76,299,975
1,77,509,974
1,78,500,974
1,79,310,974
1,80,516,973
1,81,505,973
1,82,315,973
1,83,511,972
1,84,518,971
1,85,330,972
1,86,342,970
1,87,334,970
1,88,339,970
1,89,357,968
1,90,348,968
1,91,363,967
1,92,351,967
1,93,360,966
1,94,363,965
1,95,558,969
1,96,447,953
1,97,455,952
1,98,453,952
1,99,439,953
1,100,461,951
1,101,444,951
1,102,465,950
1,103,451,950
1,104,457,949
1,105,463,948
1,106,400,959
1,107,398,948
1,108,469,947
1,109,267,947
1,110,402,946
1,111,307,946
1,112,294,945
1,113,237,956
1,114,271,938
1,115,285,935
2,0,455,1075
2,1,463,1073
2,2,476,1071
2,3,472,1071
2,4,481,1071
2,5,490,1069
2,6,495,1068
2,7,518,1066
2,8,506,1067
2,9,525,1065
2,10,512,1065
2,11,521,1064
2,12,526,1063
2,13,535,1063
2,14,534,1063
2,15,396,1055
2,16,415,1050
2,17,418,1047
2,18,496,1040
2,19,501,1039
2,20,508,1038
2,21,501,1036
2,22,517,1034
2,23,362,1028
2,24,348,1028
2,25,366,1025
2,26,536,1016
2,27,454,1013
2,28,465,1012
2,29,450,1013
2,30,471,1011
2,31,456,1011
2,32,477,1010
2,33,465,1010
2,34,471,1009
2,35,291,1008
2,36,339,1007
2,37,293,1007
2,38,301,1006
2,39,307,1005
2,40,294,1005
2,41,316,1004
2,42,300,1004
2,43,320,1003
2,44,305,1003
2,45,327,1002
2,46,313,1002
2,47,340,1001
2,48,331,1001
2,49,318,1001
2,50,326,1000
2,51,330,999
2,52,337,998
2,53,342,997
2,54,350,996
2,55,355,995
2,56,388,994
2,57,383,991
2,58,403,990
2,59,408,989
2,60,407,987
2,61,412,986
2,62,284,980
2,63,288,979
2,64,295,978
2,65,488,977
2,66,299,977
2,67,285,977
2,68,495,976
2,69,307,976
2,70,294,976
2,71,500,975
2,72,490,975
2,73,310,975
2,74,297,975
2,75,507,974
2,76,496,974
2,77,317,974
2,78,306,974
2,79,502,973
2,80,313,973
2,81,509,972
2,82,515,971
2,83,342,970
2,84,332,971
2,85,346,969
2,86,336,969
2,87,538,968
2,88,354,968
2,89,343,968
2,90,347,967
2,91,364,966
2,92,357,966
2,93,557,969
2,94,436,955
2,95,452,952
2,96,450,952
2,97,440,952
2,98,464,950
2,99,469,949
2,100,453,949
2,101,460,948
2,102,400,959
2,103,465,947
2,104,306,946
2,105,238,955
2,106,272,938
2,107,285,935
3,0,455,1075
3,1,462,1073
3,2,474,1071
3,3,486,1069
3,4,494,1068
3,5,491,1068
3,6,507,1067
3,7,501,1067
3,8,513,1066
3,9,504,1066
3,10,523,1065
3,11,511,1065
3,12,529,1064
3,13,516,1064
3,14,525,1063
3,15,533,1062
3,16,397,1055
3,17,383,1052
3,18,392,1051
3,19,414,1050
3,20,418,1048
3,21,504,1038
3,22,512,1037
3,23,358,1028
3,24,345,1028
3,25,350,1027
3,26,371,1026
3,27,537,1020
3,28,446,1014
3,29,459,1012
3,30,449,1012
3,31,467,1011
3,32,455,1011
3,33,461,1010
3,34,469,1009
3,35,473,1008
3,36,484,1006
3,37,491,1005
3,38,304,1005
3,39,294,1005
3,40,310,1004
3,41,296,1004
3,42,317,1003
3,43,303,1003
3,44,323,1002
3,45,308,1002
3,46,340,1001
3,47,330,1001
3,48,316,1001
3,49,336,1000
3,50,320,1000
3,51,328,999
3,52,333,998
3,53,340,997
3,54,345,996
3,55,352,995
3,56,389,994
3,57,385,993
3,58,400,991
3,59,382,990
3,60,408,988
3,61,411,985
3,62,280,980
3,63,285,979
3,64,290,978
3,65,297,977
3,66,284,977
3,67,491,976
3,68,482,976
3,69,302,976
3,70,287,976
3,71,497,975
3,72,488,975
3,73,308,975
3,74,295,975
3,75,492,974
3,76,300,974
3,77,508,973
3,78,500,973
3,79,311,973
3,80,504,972
3,81,512,971
3,82,330,971
3,83,328,970
3,84,344,969
3,85,337,969
3,86,350,968
3,87,338,968
3,88,355,967
3,89,347,967
3,90,361,966
3,91,349,966
3,92,558,968
3,93,445,952
3,94,453,951
3,95,438,952
3,96,438,952
3,97,460,950
3,98,442,950
3,99,465,949
3,100,450,949
3,101,456,948
3,102,462,947
3,103,296,947
3,104,468,946
3,105,400,958
3,106,474,945
3,107,307,945
3,108,311,944
3,109,236,954
3,110,285,936
4,0,455,1074
4,1,463,1073
4,2,479,1070
4,3,505,1067
4,4,502,1067
4,5,491,1068
4,6,517,1065
4,7,507,1065
4,8,525,1064
4,9,514,1064
4,10,532,1063
4,11,518,1063
4,12,528,1062
4,13,535,1061
4,14,386,1051
4,15,416,1049
4,16,414,1049
4,17,418,1046
4,18,495,1036
4,19,524,1035
4,20,348,1029
4,21,360,1027
4,22,346,1027
4,23,351,1026
4,24,366,1024
4,25,537,1019
4,26,535,1017
4,27,446,1013
4,28,462,1011
4,29,450,1012
4,30,469,1010
4,31,457,1010
4,32,476,1009
4,33,292,1006
4,34,290,1006
4,35,487,1005
4,36,341,1005
4,37,299,1005
4,38,305,1004
4,39,293,1004
4,40,312,1003
4,41,297,1003
4,42,319,1002
4,43,307,1002
4,44,304,1002
4,45,325,1001
4,46,309,1001
4,47,330,1000
4,48,317,1000
4,49,323,999
4,50,330,998
4,51,350,997
4,52,334,997
4,53,342,996
4,54,346,995
4,55,355,994
4,56,389,993
4,57,404,990
4,58,400,990
4,59,405,987
4,60,409,986
4,61,407,986
4,62,281,979
4,63,286,978
4,64,291,977
4,65,486,976
4,66,298,976
4,67,286,976
4,68,304,975
4,69,290,975
4,70,499,974
4,71,492,974
4,72,309,974
4,73,296,974
4,74,505,973
4,75,495,973
4,76,304,973
4,77,510,972
4,78,502,972
4,79,506,971
4,80,517,970
4,81,328,970
4,82,331,969
4,83,341,968
4,84,355,966
4,85,350,966
4,86,557,967
4,87,312,957
4,88,437,951
4,89,455,950
4,90,441,950
4,91,462,949
4,92,445,949
4,93,452,948
4,94,472,947
4,95,457,947
4,96,464,946
4,97,400,958
4,98,470,945
4,99,235,954
4,100,309,940
4,101,271,937
4,102,284,934
5,0,454,1074
5,1,463,1071
5,2,475,1069
5,3,490,1068
5,4,480,1069
5,5,503,1067
5,6,495,1066
5,7,521,1064
5,8,509,1065
5,9,526,1063
5,10,516,1063
5,11,520,1062
5,12,533,1060
5,13,382,1051
5,14,416,1047
5,15,496,1038
5,16,511,1036
5,17,517,1035
5,18,503,1034
5,19,366,1025
5,20,368,1023
5,21,535,1016
5,22,446,1016
5,23,447,1012
5,24,455,1011
5,25,465,1010
5,26,451,1010
5,27,472,1009
5,28,458,1009
5,29,465,1008
5,30,476,1006
5,31,483,1005
5,32,292,1005
5,33,290,1005
5,34,301,1004
5,35,306,1003
5,36,294,1003
5,37,314,1002
5,38,299,1002
5,39,320,1001
5,40,305,1001
5,41,327,1000
5,42,312,1000
5,43,332,999
5,44,319,999
5,45,325,998
5,46,346,997
5,47,331,997
5,48,337,996
5,49,344,995
5,50,349,994
5,51,356,993
5,52,384,991
5,53,378,989
5,54,407,985
5,55,410,984
5,56,283,978
5,57,287,977
5,58,483,976
5,59,294,976
5,60,281,976
5,61,299,975
5,62,285,975
5,63,305,974
5,64,292,974
5,65,500,973
5,66,491,973
5,67,309,973
5,68,298,973
5,69,507,972
5,70,496,972
5,71,305,972
5,72,512,971
5,73,503,971
5,74,313,971
5,75,509,970
5,76,315,970
5,77,329,969
5,78,333,968
5,79,346,967
5,80,353,966
5,81,339,967
5,82,358,965
5,83,349,965
5,84,353,964
5,85,312,957
5,86,558,966
5,87,451,950
5,88,438,950
5,89,457,949
5,90,441,949
5,91,463,948
5,92,468,947
5,93,453,947
5,94,465,945
5,95,400,957
5,96,472,944
5,97,235,954
5,98,306,940
5,99,285,937
5,100,270,935
5,101,284,934
6,0,454,1073
6,1,458,1071
6,2,468,1070
6,3,490,1067
6,4,482,1068
6,5,501,1065
6,6,523,1063
6,7,509,1064
6,8,527,1062
6,9,517,1062
6,10,522,1061
6,11,538,1060
6,12,534,1060
6,13,529,1060
6,14,396,1053
6,15,377,1051
6,16,383,1050
6,17,389,1049
6,18,415,1047
6,19,504,1036
6,20,505,1033
6,21,519,1031
6,22,344,1028
6,23,343,1026
6,24,368,1024
6,25,366,1024
6,26,353,1024
6,27,363,1023
6,28,370,1022
6,29,367,1022
6,30,536,1019
6,31,534,1018
6,32,446,1012
6,33,449,1010
6,34,466,1009
6,35,454,1010
6,36,473,1008
6,37,460,1008
6,38,466,1007
6,39,472,1006
6,40,477,1005
6,41,489,1003
6,42,303,1003
6,43,307,1002
6,44,292,1003
6,45,502,1001
6,46,316,1001
6,47,301,1001
6,48,320,1000
6,49,306,1000
6,50,328,999
6,51,313,999
6,52,332,998
6,53,320,998
6,54,326,997
6,55,331,996
6,56,338,995
6,57,343,994
6,58,350,993
6,59,357,992
6,60,385,991
6,61,400,989
6,62,378,988
6,63,406,987
6,64,407,984
6,65,410,983
6,66,284,977
6,67,287,976
6,68,484,975
6,69,295,975
6,70,283,975
6,71,489,974
6,72,299,974
6,73,286,974
6,74,496,973
6,75,485,973
6,76,293,973
6,77,500,972
6,78,492,972
6,79,299,972
6,80,497,971
6,81,307,972
6,82,508,970
6,83,504,970
6,84,510,969
6,85,332,968
6,86,346,966
6,87,337,966
6,88,355,965
6,89,343,966
6,90,359,964
6,91,348,964
6,92,356,963
6,93,557,966
6,94,564,961
6,95,311,957
6,96,560,956
6,97,442,950
6,98,436,950
6,99,441,948
6,100,464,947
6,101,448,947
6,102,469,946
6,103,454,946
6,104,391,946
6,105,460,945
6,106,467,944
6,107,400,956
6,108,396,944
6,109,473,943
6,110,236,953
6,111,284,933
7,0,454,1073
7,1,465,1069
7,2,482,1067
7,3,490,1066
7,4,486,1066
7,5,504,1065
7,6,502,1064
7,7,506,1063
7,8,523,1062
7,9,512,1062
7,10,527,1061
7,11,520,1061
7,12,517,1061
7,13,523,1060
7,14,533,1059
7,15,379,1050
7,16,384,1049
7,17,413,1047
7,18,416,1046
7,19,504,1035
7,20,506,1032
7,21,521,1030
7,22,352,1026
7,23,350,1024
7,24,369,1023
7,25,354,1023
7,26,364,1022
7,27,536,1018
7,28,457,1009
7,29,448,1010
7,30,468,1008
7,31,455,1008
7,32,473,1007
7,33,461,1007
